HG_ADENOMA_FEATURES,,OBJEKT,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
elongierte Zellkerne,,"['ZELLE', 'ZELLKERN', 'ZELLKERN']",,,"[[], []]",,"['', '']",
elongierte Zellen,,"['ZELLE', 'ZELLE']",,,"[[], ['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']]",,"['', '']",
Drüse ründlich,,['DRÜSE'],,,"[[], []]",,"[['Drüse'], ['dicklich', 'drall', 'mollig', 'mopsig', 'prall', 'rundlich', 'moppelig', 'pummelig']]",
Lumen klein,,['LUMEN'],,,"[[], ['knapp', 'klein', 'gering', 'betroffen', 'scharf', 'flach', 'geringfügig', 'minimal', 'bedeutungslos', 'unbedeutend', 'gedämpft', 'minderwertig', 'karg', 'dürftig', 'winzig', 'stramm', 'kindlich', 'belanglos', 'prall', 'nebensächlich', 'zierlich', 'spartanisch', 'bodennah', 'handlich', 'hauteng', 'fad', 'infantil', 'schwächlich', 'unfein', 'kleinlaut', 'feingliedrig', 'kümmerlich', 'armselig']]",,"[['Einheit des Lichtstromes', 'Lumen'], ['gedrungen', 'klein', 'kompakt', 'massiv', 'stabil', 'zusammengedrängt']]",
lumen länglich,,['LUMEN'],,,"[[], ['groß', 'länglich', 'in']]",,"[['Einheit des Lichtstromes', 'Lumen'], ['abgeplattet', 'gestreckt', 'lang gezogen', 'langgezogen', 'länglich', 'oblong']]",
dünne Zellwände,,['ZELLE'],,,"[[], []]",,"['', '']",
Zellkerne groß,,"['ZELLE', 'ZELLKERN', 'ZELLKERN']",,,"[[], ['bekannt', 'lang', 'groß', 'hoch', 'angesehen', 'wichtig', 'berühmt', 'verhältnismäßig', 'unendlich', 'ungewöhnlich', 'außerordentlich', 'umfassend', 'enorm', 'ausgedehnt', 'anschaulich', 'empfindlich', 'unerwartet', 'beträchtlich', 'außergewöhnlich', 'umfangreich', 'mächtig', 'gründlich', 'großflächig', 'hervorragend', 'einflussreich', 'glänzend', 'erwachsen', 'eindrucksvoll', 'nennenswert']]",,"['', ['von Bedeutung', 'wichtig (sein)', 'ankommen auf (es)', 'bedeutend', 'bedeutsam', 'Bedeutung haben', 'entscheidend', 'erheblich', 'Gewicht haben', 'gewichtig', 'groß', 'großgeschrieben werden', 'hoch im Kurs stehen', '(einen) hohen Stellenwert genießen', '(einen) hohen Stellenwert haben', 'ins Gewicht fallen(d)', 'keine Kleinigkeit (sein)', 'maßgeblich', 'nicht zu unterschätzen', 'nicht zu vernachlässigen (sein)', 'relevant', 'von Belang', 'von Gewicht', 'von großer Bedeutung', 'von großer Wichtigkeit', 'von Relevanz', 'wesentlich', 'zählen', 'zentral']]",
schmale lange Zellen,,"['ZELLE', 'ZELLE']",,,"[[], ['lange', 'längst', 'jahrelang', 'umfassend', 'ausgiebig', 'bereits', 'langdauernd', 'viele', 'seit', 'früher', 'seit'], ['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']]",,"['', ['bereits', '(schon) lange', 'längst', 'schon'], '']",
weiße kleine Kugeln,,[],,,"[['Biersorte', 'weißen', 'kolorieren', 'anstreichen', 'Weiß', 'weiß', 'Niederschlag', 'leer'], ['Baby', 'Bub', 'Kind', 'Angebetete', 'Kleine', 'junge'], ['bewegen', 'rollen', 'kugeln', 'rotieren', 'fortbewegen', 'sich', 'sich']]",,"[['Weißbier', 'Weiße', 'Weizenbier', 'Weizen'], ['(der) Jüngste', '(die) Jüngste', 'Benjamin', '(der) Jüngste im Bunde', '(die) Jüngste im Bunde', '(unser) Jüngstes', '(der) Kleine', '(die) Kleine', '(unser) Kleinstes', 'Nesthäkchen', 'Nestküken'], ['kugeln', 'kullern', 'rollen', 'kollern']]",
sekretblasen länglich und lumennah,,['LUMEN'],,,"[[], ['groß', 'länglich', 'in'], ['außerdem', 'ansonsten', 'plus', 'überdies', 'eingeschlossen', 'und', 'auch', 'eingerechnet', 'inbegriffen', 'mitgerechnet', 'mit', 'sowie', 'wie'], []]",,"['', ['abgeplattet', 'gestreckt', 'lang gezogen', 'langgezogen', 'länglich', 'oblong'], ['ansonsten', 'auch', 'auch weil', 'außerdem', 'daneben', 'darüber hinaus', 'dazu', 'des Weiteren', 'ebenso', 'ferner', 'hierneben', 'im Übrigen', 'neben alldem', 'nicht zuletzt', 'obendrein', 'u. a.', 'über (...) hinaus', 'überdies', 'und', 'unter anderem', 'weiter', 'weiterhin', 'weiters', 'zudem', 'zugleich', 'zumal', 'zusätzlich', 'i. a.', 'inter alia'], '']",
